scenario,sku,method,T,avg_regret,std_regret,avg_regret_per_period,avg_oracle_revenue,avg_realized_revenue,relative_regret,n_trials
real_semisynth,Envelopes SKU 24,mymethod,200,145.02151644866765,13.217128263380513,0.7251075822433383,5301.70515026205,5156.683633813382,0.027353749848103043,50
real_semisynth,Envelopes SKU 24,dip,250,285.24674624644086,30.245505910237902,1.1409869849857635,6627.097946756539,6341.8512005100965,0.043042482326075694,50
real_semisynth,Envelopes SKU 24,kernel_baseline,250,491.4265209110813,9.282701004002913,1.9657060836443252,6627.149403235722,6135.722882324641,0.07415352982251178,50
real_semisynth,Envelopes SKU 24,mymethod,250,182.5588195577335,15.00079983387886,0.730235278230934,6627.144492523138,6444.585672965405,0.0275471313117889,50
real_semisynth,Envelopes SKU 24,dip,300,370.9142619302195,35.392739419874886,1.2363808731007315,7952.577010327356,7581.662748397137,0.04664076329578999,50
real_semisynth,Envelopes SKU 24,kernel_baseline,300,647.9632633275011,9.221545084350513,2.1598775444250036,7952.614375317204,7304.651111989703,0.08147801876809296,50
real_semisynth,Envelopes SKU 24,mymethod,300,217.02711738469173,15.345432416517435,0.7234237246156391,7952.595798234032,7735.568680849341,0.02729009783609085,50
real_semisynth,Envelopes SKU 24,dip,350,439.8711341278218,40.346293430386126,1.2567746689366337,9278.019145023818,8838.148010895997,0.04741002656410153,50
real_semisynth,Envelopes SKU 24,kernel_baseline,350,804.4696957101427,9.221953070309178,2.2984848448861217,9278.049037364895,8473.579341654753,0.08670677342514069,50
real_semisynth,Envelopes SKU 24,mymethod,350,250.01096094420197,15.113003908429642,0.7143170312691485,9278.053042836758,9028.042081892556,0.02694648972040812,50
real_semisynth,Envelopes SKU 24,dip,400,507.0608381541171,46.769412604836276,1.2676520953852928,10603.418349246156,10096.35751109204,0.04782050669444409,50
real_semisynth,Envelopes SKU 24,kernel_baseline,400,960.9690647731915,9.252647905325944,2.4024226619329787,10603.47663609296,9642.50757131977,0.0906277344453392,50
real_semisynth,Envelopes SKU 24,mymethod,400,282.93215213111614,14.926203022769277,0.7073303803277904,10603.486279113631,10320.554126982513,0.026682936600618403,50
real_semisynth,Envelopes SKU 24,dip,450,576.5531249129014,54.947323626975326,1.2812291664731141,11928.869535212978,11352.316410300074,0.048332587024358595,50
real_semisynth,Envelopes SKU 24,kernel_baseline,450,1117.4669306941498,9.22572411844237,2.4832598459869994,11928.902731678932,10811.435800984786,0.09367726066929477,50
real_semisynth,Envelopes SKU 24,mymethod,450,315.86658865193925,14.763047851504425,0.701925752559865,11928.913653700763,11613.047065048826,0.026479074106965848,50
real_semisynth,Envelopes SKU 24,dip,500,641.2884444248607,63.757518411286675,1.2825768888497213,13254.287305770207,12612.99886134534,0.04838347242900628,50
real_semisynth,Envelopes SKU 24,kernel_baseline,500,1225.7924114202801,9.4363411441402,2.45158482284056,13254.341674489102,12028.549263068822,0.09248233081086082,50
